snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,1.762500e-02,1.816667e-02,2.892500e-01,3.150278e-01,8.18
4,7.291667e-03,7.708333e-03,2.011667e-01,2.453194e-01,18.00
8,4.625000e-03,4.750000e-03,1.233333e-01,1.591806e-01,22.52
12,3.708333e-03,4.791667e-03,5.312500e-02,7.873611e-02,32.53
