snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,3.061250e-01,3.061250e-01,3.360833e-01,3.705972e-01,9.31
4,3.052917e-01,3.053333e-01,3.007083e-01,3.444861e-01,12.71
8,3.065000e-01,3.064583e-01,2.623750e-01,3.307222e-01,20.67
12,3.052083e-01,3.052917e-01,2.107083e-01,3.155972e-01,33.24
