snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,1.525000e-02,1.525000e-02,3.148333e-01,3.256806e-01,3.33
4,5.416667e-04,5.833333e-04,2.652917e-01,2.636389e-01,-0.63
8,0.000000e+00,0.000000e+00,2.067917e-01,1.995139e-01,-3.65
12,0.000000e+00,0.000000e+00,1.242917e-01,1.066917e-01,-16.50
