snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
4,3.428889e-01,3.460278e-01,3.101667e-01,3.527130e-01,12.06
8,3.420556e-01,3.478611e-01,2.675000e-01,3.440185e-01,22.24
12,3.414444e-01,3.454722e-01,2.304167e-01,3.421296e-01,32.65
16,3.400833e-01,3.432778e-01,2.169722e-01,3.432315e-01,36.79
20,3.418333e-01,3.495000e-01,2.103333e-01,3.427222e-01,38.63
