snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,1.250000e-04,1.250000e-04,2.598750e-01,2.990417e-01,13.10
4,0.000000e+00,0.000000e+00,1.682917e-01,1.949167e-01,13.66
8,0.000000e+00,0.000000e+00,8.141667e-02,8.715278e-02,6.58
12,0.000000e+00,0.000000e+00,1.454167e-02,1.816389e-02,19.94
