snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,2.758750e-01,2.758750e-01,2.960417e-01,3.542361e-01,16.43
4,2.730000e-01,2.730000e-01,2.130000e-01,3.173194e-01,32.88
8,2.717500e-01,2.717917e-01,1.555417e-01,2.929583e-01,46.91
12,2.714583e-01,2.714583e-01,1.098750e-01,2.844028e-01,61.37
