snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,3.694583e-01,3.700000e-01,3.636250e-01,3.989306e-01,8.85
4,3.802083e-01,3.802917e-01,3.504167e-01,3.837917e-01,8.70
8,3.865833e-01,3.867500e-01,3.342500e-01,3.717778e-01,10.09
12,3.900000e-01,3.901250e-01,3.192917e-01,3.694306e-01,13.57
