snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,2.777778e-05,2.777778e-05,2.208889e-01,2.776481e-01,20.44
2,0.000000e+00,0.000000e+00,1.696667e-01,2.195370e-01,22.72
4,0.000000e+00,0.000000e+00,1.245000e-01,1.501296e-01,17.07
6,0.000000e+00,0.000000e+00,8.097222e-02,1.062685e-01,23.80
8,0.000000e+00,0.000000e+00,4.175000e-02,5.108333e-02,18.27
10,0.000000e+00,0.000000e+00,1.594444e-02,2.311111e-02,31.01
12,0.000000e+00,0.000000e+00,4.069444e-03,5.009259e-03,18.76
14,0.000000e+00,0.000000e+00,7.500000e-04,8.351852e-04,10.20
16,0.000000e+00,0.000000e+00,1.250000e-04,1.851852e-05,-575.00
