snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,2.664375e-01,2.664375e-01,2.756250e-01,3.383750e-01,18.54
4,2.642500e-01,2.643750e-01,1.874375e-01,3.087500e-01,39.29
8,2.625000e-01,2.626250e-01,1.206250e-01,2.910833e-01,58.56
12,2.622500e-01,2.622500e-01,8.181250e-02,2.750417e-01,70.25
16,2.621875e-01,2.623750e-01,6.800000e-02,2.712292e-01,74.93
