snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,2.777778e-05,2.777778e-05,2.208889e-01,2.776481e-01,20.44
2,0.000000e+00,0.000000e+00,1.696667e-01,2.195370e-01,22.72
4,0.000000e+00,0.000000e+00,1.271125e-01,1.634521e-01,22.23
6,0.000000e+00,0.000000e+00,7.960625e-02,1.092875e-01,27.16
8,0.000000e+00,0.000000e+00,4.245000e-02,5.914792e-02,28.23
10,0.000000e+00,0.000000e+00,1.612500e-02,2.796667e-02,42.34
12,0.000000e+00,0.000000e+00,4.650000e-03,9.668750e-03,51.91
14,0.000000e+00,0.000000e+00,9.940000e-04,1.570000e-03,36.69
