snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,5.193750e-02,5.406250e-02,2.621875e-01,3.056875e-01,14.23
4,4.556250e-02,4.662500e-02,1.611875e-01,2.232500e-01,27.80
8,4.293750e-02,5.000000e-02,9.156250e-02,1.458125e-01,37.21
12,4.206250e-02,3.587500e-02,4.793750e-02,8.697917e-02,44.89
16,4.087500e-02,5.925000e-02,3.100000e-02,6.102083e-02,49.20
