snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,2.413125e-01,2.383125e-01,2.917500e-01,3.051250e-01,4.38
4,2.385000e-01,2.401875e-01,2.035000e-01,2.722083e-01,25.24
8,2.380625e-01,2.383125e-01,1.491250e-01,2.420208e-01,38.38
12,2.377500e-01,2.637500e-01,1.209375e-01,2.350417e-01,48.55
16,2.368125e-01,2.709375e-01,1.060000e-01,2.346042e-01,54.82
