snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,1.500000e-03,1.500000e-03,2.400833e-01,2.884861e-01,16.78
4,3.750000e-04,5.416667e-04,1.384167e-01,1.810139e-01,23.53
8,4.166667e-05,1.250000e-04,5.612500e-02,7.109722e-02,21.06
12,4.166667e-05,8.333333e-05,1.379167e-02,1.495556e-02,7.78
16,8.333333e-05,9.166667e-04,2.500000e-03,2.555556e-03,2.17
