snr_db,ber_mld,ber_oracle,ber_rkhs,ber_mmse,gain_pct
0,1.375000e-03,1.500000e-03,2.403750e-01,2.959861e-01,18.79
4,3.750000e-04,4.166667e-04,1.331667e-01,1.900417e-01,29.93
8,2.916667e-04,4.583333e-04,5.000000e-02,7.858333e-02,36.37
12,2.083333e-04,2.500000e-04,9.291667e-03,1.504167e-02,38.23
16,1.250000e-04,2.541667e-03,1.625000e-03,2.375000e-03,31.58
